COD_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;LEN_MAT;AUT_IDE_ET;NOM_CEN;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;MOT_EGR
CDFSJT00001;1;2022-08-08;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-04;1;1;1;No aplica;11
CDFSJT00001;1;2016-08-27;9;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-01-09;1;1;1;No aplica;11
CDFSJT00001;1;2013-09-05;12;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-09-15;1;1;1;No aplica;11
CDFSJT00001;1;2009-03-24;16;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-03-25;1;1;1;No aplica;11
CDFSJT00002;2;2022-11-16;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-02-03;1;2;1;No aplica;11
CDFSJT00002;1;2018-04-30;7;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-02-03;1;1;1;No aplica;11
CDFSJT00003;2;2023-10-23;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-02-03;1;1;1;No aplica;11
CDFSJT00003;1;2018-02-11;8;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-02-03;1;1;1;No aplica;11
CDFSJT00003;2;2012-12-12;13;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-02-03;1;1;1;No aplica;11
CDFSJT00004;1;2023-05-21;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-03-20;1;1;1;No aplica;11
CDFSJT00005;2;2021-10-15;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-03-25;1;1;1;No aplica;11
CDFSJT00006;1;2024-05-18;1;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-08-22;1;1;1;No aplica;11
CDFSJT00006;2;2022-02-14;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-16;1;1;1;No aplica;11
CDFSJT00007;2;2021-08-24;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-04;1;1;1;No aplica;11
CDFSJT00008;1;2023-09-14;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-02-12;1;1;1;No aplica;11
CDFSJT00009;2;2020-06-19;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-03-29;1;1;1;No aplica;11
CDFSJT00010;2;2024-05-23;1;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-06-10;1;2;1;No aplica;11
CDFSJT00010;2;2024-05-23;1;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-06-10;1;2;1;No aplica;11
CDFSJT00011;2;2020-09-27;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-12-10;1;1;1;No aplica;11
CDFSJT00012;2;2023-09-25;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-28;1;1;1;No aplica;11
CDFSJT00012;2;2020-12-02;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-28;1;1;1;No aplica;11
CDFSJT00013;2;2022-07-20;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-11-12;1;1;1;No aplica;11
CDFSJT00013;2;2012-10-03;13;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2026-01-13;1;1;1;No aplica;11
CDFSJT00014;2;2023-07-28;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-03-03;1;2;1;No aplica;11
CDFSJT00014;2;2021-07-04;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-01;1;2;1;No aplica;11
CDFSJT00014;1;2019-09-09;6;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-01;1;2;1;No aplica;11
CDFSJT00015;2;2020-07-18;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-24;1;1;1;No aplica;11
